name	is_useful	use_for_publication_words	auto_link
Calcimycin	0	1	1
Temefos	0	1	1
Abattoirs	0	0	0
Abbreviations as Topic	0	0	0
Abdomen	1	1	1
Acute Abdomen	1	1	1
Abdominal Injuries	1	1	1
Abdominal Neoplasms	1	1	1
Abdominal Muscles	1	1	1
Abducens Nerve	1	1	1
Abelson murine leukemia virus	0	1	1
Abetalipoproteinemia	1	1	1
Congenital Abnormalities	1	1	1
Abnormalities, Drug-Induced	1	1	1
Abnormalities, Multiple	1	1	1
Abnormalities, Radiation-Induced	1	1	1
ABO Blood-Group System	0	1	1
Abomasum	0	1	1
Abortifacient Agents	1	1	1
Abortifacient Agents, Nonsteroidal	1	1	1
Abortifacient Agents, Steroidal	1	1	1
Spontaneous Abortion	1	0	0
Abortion Applicants	0	0	0
Abortion, Criminal	0	0	0
Abortion, Eugenic	1	1	1
Abortion, Habitual	1	1	1
Abortion, Incomplete	1	1	1
Induced Abortion	1	1	1
Abortion, Legal	1	1	1
Abortion, Missed	1	1	1
Abortion, Septic	1	1	1
Abortion, Therapeutic	1	1	1
Abortion, Threatened	1	1	1
Abortion, Veterinary	1	1	1
Abreaction	1	1	1
Abrin	1	1	1
Abruptio Placentae	1	1	1
Abscess	1	1	1
Peritonsillar Abscess	1	1	1
Abscisic Acid	0	1	1
Absenteeism	1	1	1
Absorption	0	1	1
Abstracting and Indexing as Topic	0	0	0
Dental Abutments	1	1	1
Acacia	0	1	1
Academic Medical Centers	0	1	1
Academies and Institutes	0	0	0
Acanthamoeba	0	1	1
Acanthocephala	0	1	1
Acanthocytes	1	1	1
Acantholysis	1	1	1
Acanthosis Nigricans	1	1	1
Acari	0	1	1
Acceleration	0	1	1
Accessory Nerve	1	1	1
Accident Prevention	0	1	1
Accident Proneness	1	1	1
Accidental Falls	0	1	1
Accidents	0	0	0
Accidents, Aviation	0	1	1
Accidents, Home	0	1	1
Accidents, Occupational	0	1	1
Accidents, Traffic	0	1	1
Acclimatization	1	1	1
Accommodation, Ocular	1	1	1
Accounting	0	0	0
Accounts Payable and Receivable	0	1	1
Accreditation	0	1	1
Acculturation	0	0	0
Acebutolol	0	1	1
Acedapsone	0	1	1
Acenaphthenes	0	1	1
Acenocoumarol	0	1	1
Acepromazine	0	1	1
Acetabularia	0	1	1
Acetabulum	1	1	1
Acetaldehyde	0	1	1
Acetals	0	1	1
Acetamides	0	1	1
Acetaminophen	0	1	1
Acetanilides	0	1	1
Acetate Kinase	1	1	1
Acetates	0	1	1
Acetazolamide	0	1	1
Acetic Acids	1	1	1
Acetic Anhydrides	0	1	1
Acetoacetates	0	1	1
Acetobacter	0	1	1
Acetohexamide	0	1	1
Acetoin	0	1	1
Acetoin Dehydrogenase	1	1	1
Acetolactate Synthase	1	1	1
Acetone	0	1	1
Acetonitriles	0	1	1
Acetophenones	0	1	1
Acetoxyacetylaminofluorene	0	1	1
Acetrizoic Acid	0	1	1
Acetyl-CoA C-Acetyltransferase	1	1	1
Acetyl-CoA C-Acyltransferase	1	1	1
Acetyl-CoA Carboxylase	1	1	1
Acetyl-CoA Hydrolase	1	1	1
Acetyl Coenzyme A	1	1	1
Acetate-CoA Ligase	1	1	1
Acetylation	0	1	1
Acetylcarnitine	0	1	1
Acetylcholine	0	1	1
Acetylcholinesterase	1	1	1
Acetylcysteine	1	1	1
Acetyldigitoxins	1	1	1
Acetyldigoxins	1	1	1
Acetylene	0	1	1
Acetylesterase	1	1	1
Acetylgalactosamine	1	1	1
Acetylglucosamine	1	1	1
Acetylglucosaminidase	1	1	1
Acetylmuramyl-Alanyl-Isoglutamine	1	1	1
Acecainide	0	1	1
Acetylserotonin O-Methyltransferase	1	1	1
Acetylthiocholine	0	1	1
Acetyltransferases	1	1	1
Achievement	1	1	1
Achilles Tendon	1	1	1
Achlorhydria	1	1	1
Acholeplasma	0	1	1
Acholeplasma laidlawii	0	1	1
Acholeplasmataceae	0	1	1
Achondroplasia	1	1	1
Acid Etching, Dental	1	1	1
Acid Phosphatase	1	1	1
Acid-Base Equilibrium	1	1	1
Acid-Base Imbalance	1	1	1
Acidosis	1	1	1
Acidosis, Lactic	1	1	1
Acidosis, Renal Tubular	1	1	1
Acidosis, Respiratory	1	1	1
Acids	0	0	0
Acids, Acyclic	0	1	1
Acids, Aldehydic	0	1	1
Acids, Carbocyclic	0	1	1
Acids, Heterocyclic	0	1	1
Acids, Noncarboxylic	0	1	1
Acidulated Phosphate Fluoride	1	0	0
Acinetobacter	0	1	1
Acinetobacter Infections	1	1	1
Acne Vulgaris	1	1	1
Acne Keloid	1	1	1
Aconitate Hydratase	1	1	1
Aconitic Acid	0	1	1
Aconitine	0	1	1
Acoustic Impedance Tests	1	1	1
Vestibulocochlear Nerve	1	1	1
Vestibulocochlear Nerve Diseases	1	1	1
Acoustic Stimulation	1	1	1
Acoustics	0	1	1
Acquired Immunodeficiency Syndrome	1	1	1
Acremonium	0	1	1
Acridine Orange	0	1	1
Acridines	0	1	1
Acriflavine	0	1	1
Acrocephalosyndactylia	1	1	1
Acrodermatitis	1	1	1
Acrodynia	1	1	1
Acrolein	0	1	1
Acromegaly	1	1	1
Acromioclavicular Joint	1	1	1
Acromion	1	1	1
Acronine	0	1	1
Acrosin	1	1	1
Acrosome	1	1	1
Acrylamides	0	1	1
Acrylates	0	1	1
Acrylic Resins	1	0	0
Acrylonitrile	0	1	1
ACTH Syndrome, Ectopic	1	1	1
Actihaemyl	0	1	1
Acting Out	1	1	1
Actinin	1	1	1
Actinium	0	1	1
Actinobacillosis	1	1	1
Actinobacillus	0	1	1
Actinobacillus Infections	1	1	1
Actinomyces	0	1	1
Actinomycetaceae	0	1	1
Actinomycetales	0	1	1
Actinomycetales Infections	1	1	1
Actinomycosis	1	1	1
Cervicofacial Actinomycosis	1	1	1
Spectinomycin	1	1	1
Actins	1	1	1
Action Potentials	1	1	1
Activation Analysis	1	1	1
Activator Appliances	1	1	1
Activities of Daily Living	1	0	0
Activity Cycles	1	1	1
Actomyosin	1	1	1
Actuarial Analysis	1	1	1
Acute Disease	1	1	1
Acute-Phase Proteins	1	1	1
Acute-Phase Reaction	1	1	1
Acyclovir	0	1	1
Acyl Carrier Protein	1	1	1
Acyl Coenzyme A	1	1	1
Acylation	0	1	1
N-Acylneuraminate Cytidylyltransferase	1	1	1
Acyltransferases	1	1	1
Adamantane	0	1	1
Adams-Stokes Syndrome	1	1	1
Adaptation, Biological	1	1	1
Adaptation, Ocular	1	1	1
Adaptation, Physiological	1	1	1
Adaptation, Psychological	1	1	1
Addison Disease	1	1	1
Adenine	0	1	1
Mitochondrial ADP, ATP Translocases	1	1	1
Adenine Nucleotides	1	1	1
Adenine Phosphoribosyltransferase	1	1	1
Dependovirus	0	1	1
Adenocarcinoma	1	1	1
Adenocarcinoma, Papillary	1	1	1
Adenofibroma	1	1	1
Adenoidectomy	1	1	1
Adenoids	1	1	1
Adenolymphoma	1	1	1
Adenoma	1	1	1
Adenoma, Basophil	1	1	1
Adenoma, Chromophobe	1	1	1
Adenoma, Acidophil	1	1	1
Adenosine	1	1	1
Cyclic AMP	1	1	1
Adenosine Deaminase	1	1	1
Adenosine Diphosphate	1	1	1
Adenosine Diphosphate Glucose	1	1	1
Adenosine Diphosphate Ribose	1	1	1
Adenosine Diphosphate Sugars	1	1	1
Adenosine Kinase	1	1	1
Adenosine Monophosphate	1	1	1
Adenosine Phosphosulfate	1	1	1
Adenosine Triphosphatases	1	1	1
Calcium-Transporting ATPases	1	1	1
Sodium-Potassium-Exchanging ATPase	1	1	1
